account_id,first_name,last_name,password,balance_checking,balance_savings,overdrafts,activation
10001,suresh,sigera,juagw362,0.0,10000,0,activate
10002,james,taylor,idh36%@#FGd,10000,10000,0,activate
10003,Rama,Khalid,Rama123,1770.0,1000.0,2,activate
10004,stacey,abrams,DEU8_qw3y72$,3050.0,20000,0,activate
10005,jake,paul,d^dg23g)@,120100.0,100000,0,activate
10006,sara,aaaa,1221,20304.0,5000,0,activate
10007,Reema,sss,reemmee111,220232.0,1111,0,activate
10008,jojo,koko,kokojojo,89360.0,290890.0,0,activate
10009,sara,ahmed,sara1234,20000,5000,0,activate

10011,Gigi,kjkj,gigikjkj123,3000,333,0,activate
10012,Gigi,kjkj,gigikjkj123,3000,333,0,activate
